name,type,$kuid,$qpath,col_name,$autoname,label,required,appearance,select_from_list_name,relevant,hint
start,start,tSqJKnTS7,start,start,start,NA,NA,NA,NA,NA,
end,end,ld6P6XnkW,end,end,end,NA,NA,NA,NA,NA,
group_bz6xn26,begin_group,wlZZyI8ud,group_bz6xn26,group_bz6xn26,group_bz6xn26,,FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_unterst_tzen,note,SQZW0FNdm,group_bz6xn26-Als_deutschlandweite_nen_wir_unterst_tzen,group_bz6xn26/Als_deutschlandweite_nen_wir_unterst_tzen,Als_deutschlandweite_nen_wir_unterst_tzen,Als deutschlandweite TEN SING Programmgruppe wollen wir es genau wissen: Wer sind wir bei TEN SING und wie viele? Was beschäftigt euch in den Ortsgruppen und wo können wir unterstützen?,FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u,note,SQZW0FNdm,group_bz6xn26-Als_deutschlandweite_nen_wir_u,group_bz6xn26/Als_deutschlandweite_nen_wir_u,Als_deutschlandweite_nen_wir_u,"Um das herauszufinden, gibt es zwei Fragebögen:",FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u_001,note,SQZW0FNdm,group_bz6xn26-Als_deutschlandweite_nen_wir_u_001,group_bz6xn26/Als_deutschlandweite_nen_wir_u_001,Als_deutschlandweite_nen_wir_u_001,"Diesen, den alle Teilnehmenden für sich ausfüllen. Gebt ihn gern weiter an andere aus eurer Ortsgruppe! Hier der Link: [https://ogy.de/TENSINGteilnehmende](https://ogy.de/TENSINGteilnehmende)",FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u_002,note,SQZW0FNdm,group_bz6xn26-Als_deutschlandweite_nen_wir_u_002,group_bz6xn26/Als_deutschlandweite_nen_wir_u_002,Als_deutschlandweite_nen_wir_u_002,"Und einen weiteren, der nur einmal für die ganze Ortsgruppe ausgefüllt werden sollte (z.B. von jemandem aus dem Leitungsteam): [https://ogy.de/TENSINGortsgruppe](https://ogy.de/TENSINGortsgruppe).",FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u_003,note,SQZW0FNdm,group_bz6xn26-Als_deutschlandweite_nen_wir_u_003,group_bz6xn26/Als_deutschlandweite_nen_wir_u_003,Als_deutschlandweite_nen_wir_u_003,"Die Umfrage wird 2024 zum ersten Mal durchgeführt und soll ab jetzt einmal pro Jahr kommen. Der Fragebogen wurde aufgrund des Feedbacks von TEN SINGenden aus ganz Deutschland im Rahmen von Fokusgruppen entwickelt. So können wir in einigen Jahren auch sehen, wie sich TEN SING entwickelt.",FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u_004,note,SQZW0FNdm,group_bz6xn26-Als_deutschlandweite_nen_wir_u_004,group_bz6xn26/Als_deutschlandweite_nen_wir_u_004,Als_deutschlandweite_nen_wir_u_004,Die Umfrage erfolgt selbstverständlich anonym und kann nicht auf einzelne Teilnehmende zurückverfolgt werden. Auf Wunsch können alle Teilnehmenden die Gesamtauswertungen einsehen.,FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u_005,note,SQZW0FNdm,group_bz6xn26-Als_deutschlandweite_nen_wir_u_005,group_bz6xn26/Als_deutschlandweite_nen_wir_u_005,Als_deutschlandweite_nen_wir_u_005,"Wir freuen uns auf euren Input! Wir werden ihn nutzen, um euch noch besser zu unterstützen – zum Beispiel mit bundesweiten Veranstaltungen, Arbeitshilfen, zusätzlichen Spenden oder ganz anderes…",FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u_006,note,SQZW0FNdm,group_bz6xn26-Als_deutschlandweite_nen_wir_u_006,group_bz6xn26/Als_deutschlandweite_nen_wir_u_006,Als_deutschlandweite_nen_wir_u_006,"Viele Grüße, eure Programmgruppe",FALSE,NA,NA,NA,
NA,end_group,/wlZZyI8ud,NA,NA,NA,NA,NA,NA,NA,NA,
group_aa5ex58,begin_group,cL0QCQ3af,group_aa5ex58,group_aa5ex58,group_aa5ex58,Mit welchen drei Worten verbindest du TEN SING?,FALSE,NA,NA,NA,
Wort_1,text,FIeI3Ysk0,group_aa5ex58-Wort_1,group_aa5ex58/Wort_1,Wort_1,Wort 1:,FALSE,NA,NA,NA,
Wort_2,text,gbbu8b3pL,group_aa5ex58-Wort_2,group_aa5ex58/Wort_2,Wort_2,Wort 2:,FALSE,NA,NA,NA,
Wort_3,text,rNRzQVReW,group_aa5ex58-Wort_3,group_aa5ex58/Wort_3,Wort_3,Wort 3:,FALSE,NA,NA,NA,
group_ze8px94,begin_group,nCeh6vkDe,group_aa5ex58-group_ze8px94,group_aa5ex58/group_ze8px94,group_ze8px94,"Nachfolgend findest du Eigenschaften. Bitte entscheide, wie sehr diese auf TEN SING zutreffen:",FALSE,NA,NA,NA,
tengsing_geschuetzt,select_one,fu3bv29,group_aa5ex58-group_ze8px94-tengsing_geschuetzt,group_aa5ex58/group_ze8px94/tengsing_geschuetzt,tengsing_geschuetzt,"TEN SING ist auf einer Skala zwischen ""geschütztem"" und ""nicht geschütztem Raum"":",FALSE,likert,zn7ly20,NA,
tensing_modern_traditionell_00,select_one,D4LH2qG5H,group_aa5ex58-group_ze8px94-tensing_modern_traditionell_00,group_aa5ex58/group_ze8px94/tensing_modern_traditionell_00,tensing_modern_traditionell_00," TEN SING ist auf einer Skala zwischen ""modern"" und ""traditionell"" ein:",FALSE,likert,of2xr12,NA,
tensing_abwechslung,select_one,gr2pe41,group_aa5ex58-group_ze8px94-tensing_abwechslung,group_aa5ex58/group_ze8px94/tensing_abwechslung,tensing_abwechslung,"TEN SING ist auf einer Skala zwischen ""abwechslungsreich"" und ""immer das Gleiche"":",FALSE,likert,bp5fa75,NA,
tensing_gemeinschaft,select_one,NjOiUdW5T,group_aa5ex58-group_ze8px94-tensing_gemeinschaft,group_aa5ex58/group_ze8px94/tensing_gemeinschaft,tensing_gemeinschaft,"Bei TEN SING gilt auf einer Skala von ""Alle helfen"" bis ""Jeder macht sein Ding"":",FALSE,likert,to1tc02,NA,
tensing_offen_exklusiv,select_one,Bvqdz4fRk,group_aa5ex58-group_ze8px94-tensing_offen_exklusiv,group_aa5ex58/group_ze8px94/tensing_offen_exklusiv,tensing_offen_exklusiv,"TEN SING ist auf einer Skala zwischen ""Offen für alle"" und ""Exklusiv"":",FALSE,likert,mb0iy64,NA,
tensing_offen_religionen,select_one,GJuOWbBnO,group_aa5ex58-group_ze8px94-tensing_offen_religionen,group_aa5ex58/group_ze8px94/tensing_offen_religionen,tensing_offen_religionen,"TEN SING ist auf einer Skala zwischen ""Offen für alle Religionen"" und ""Nur für Christ:innen"":",FALSE,likert,jc39z02,NA,
tensing_kreativ_unkreativ,select_one,ubWHKoufi,group_aa5ex58-group_ze8px94-tensing_kreativ_unkreativ,group_aa5ex58/group_ze8px94/tensing_kreativ_unkreativ,tensing_kreativ_unkreativ,"TEN SING ist auf einer Skala zwischen ""Kreativ"" und ""Nicht-Kreativ"":",FALSE,likert,yj5us17,NA,
