name,$kuid,label,list_name,$autovalue,order,region
montag,4X02L0jeg,Montag,my9mv70,montag,NA,NA
dienstag,3qdwAF24y,Dienstag,my9mv70,dienstag,NA,NA
mittwoch,U4wmdZkaI,Mittwoch,my9mv70,mittwoch,NA,NA
donnerstag,X8By5zjLU,Donnerstag,my9mv70,donnerstag,NA,NA
freitag,bXzlWxoQS,Freitag,my9mv70,freitag,NA,NA
samstag,0xj1hL6Cp,Samstag,my9mv70,samstag,NA,NA
sonntag,Rs3gsYnzC,Sonntag,my9mv70,sonntag,NA,NA
chor,66Nijf89f,Chor,vj9by53,chor,0,NA
solo_gesang,n7BDy2dfM,Solo-Gesang,vj9by53,solo_gesang,1,NA
tanz,uei7uyPEQ,Tanz,vj9by53,tanz,2,NA
orga,1VCAMuDxc,Orga,vj9by53,orga,3,NA
medien,ivArZUwEC,Medien,vj9by53,medien,4,NA
technik,tbQDyXKKb,Technik,vj9by53,technik,5,NA
band,iKNBNntZ4,Band,vj9by53,band,6,NA
kreativ,dvOEIxpTt,Kreativ,vj9by53,kreativ,7,NA
theater,yNNr403Ob,Theater,vj9by53,theater,8,NA
dirigieren_chorleitung,oRzMcO2f2,Dirigieren / Chorleitung,vj9by53,dirigieren_chorleitung,9,NA
andere_workshops,mUvtBSVhF,andere Workshops,vj9by53,andere_workshops,10,NA
Ja_Vollzeit,xycFIIgKy,Ja,ra07e45,Ja_Vollzeit,NA,NA
nein,zXbzGjUXT,Nein,ra07e45,nein,NA,NA
wei__ich_nicht,wn6UmaKxs,Weiß ich nicht,ra07e45,wei__ich_nicht,NA,NA
ja_grosse_probleme,DxqY5eZe8,"Ja, sehr große Probleme",xx6oz98,ja_grosse_probleme,NA,NA
ja_phasenweise,9zi1hGl26,"Ja, aber nur phasenweise",xx6oz98,ja_phasenweise,NA,NA
nein,6MVr4QftP,Nein,xx6oz98,nein,NA,NA
werbung_auftritte,0MZn2XhK8,Werbung bei unseren Veranstaltungen und Vorführungen,sd1mv43,werbung_auftritte,NA,NA
werbung_kirche,bN6MnptFr,Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit),sd1mv43,werbung_kirche,NA,NA
schulprojekte,MH9LDXuDy,Schulprojekte (z. B. Projektwochen),sd1mv43,schulprojekte,NA,NA
schnupperproben,qfnrNQkuy,Schnupperproben,sd1mv43,schnupperproben,NA,NA
social_media,El3FWT2dq,"Werbung auf Social Media (z. B. Instagram, TikTok)",sd1mv43,social_media,NA,NA
freunde_und_bekannte,4OqtUuVvt,Freunde und Bekannte ansprechen,sd1mv43,freunde_und_bekannte,NA,NA
sonstige,VAh2e1v0O,Sonstige,sd1mv43,sonstige,NA,NA
1,EwREFivlq,Gar nicht erfolgreich (1),dq4ul86,1,NA,NA
2,jUTUTsG7B,2,dq4ul86,2,NA,NA
3,ffg2OSHTk,3,dq4ul86,3,NA,NA
4,SLpYPupRP,4,dq4ul86,4,NA,NA
5,y9T0HtF9q,5,dq4ul86,5,NA,NA
6,8kPS2Kiq7,Sehr erfolgreich (6),dq4ul86,6,NA,NA
nein,4ADYRxL0E,Nein,qq0kz18,nein,NA,NA
