Schreibweise in den Daten,Vereinheitlicht,Landesverband
,NA,NA
2.0,2.0,Ostwerk
2.0 - Berlin,2.0,Ostwerk
-Versmold,Versmold,Ostwestfalen-Lippe
Augustfehn-Apen,Augustfehn-Apen,Nord
Augustfehn/Apen,Augustfehn-Apen,Nord
Bad Zwischenahn,Bad Zwischenahn,Nord
Berlin,2.0,Ostwerk
Bochum,Bochum,Bergischland-Ruhrgebiet (BLRG)
Borken,Borken,Niederrhein
Brackwede Quelle,Brackwede-Quelle,Ostwestfalen-Lippe
Brackwede-Quelle,Brackwede-Quelle,Ostwestfalen-Lippe
Bremen,Bremen,Nord
Burgaltendorf,Burgaltendorf,Bergischland-Ruhrgebiet (BLRG)
Coswig,Coswig,Sachsen
Duisburg,Duisburg,Niederrhein
Ehringen,Ehringen,Hessen
Eschwege,Eschwege,Hessen
Frankfurt (O.),Frankfurt (Oder),Ostwerk
Frankfurt (Oder),Frankfurt (Oder),Ostwerk
Frankfurt Oder,Frankfurt (Oder),Ostwerk
frankfurt (Oder),Frankfurt (Oder),Ostwerk
Hagen,Hagen,Bergischland-Ruhrgebiet (BLRG)
Homberg,Homberg (Efze),Hessen
Homberg (Efze),Homberg (Efze),Hessen
Homberg Efze,Homberg (Efze),Hessen
KNETTERHEIDE🥳🥳🥳,Knetterheide,Ostwestfalen-Lippe
Knetterheide,Knetterheide,Ostwestfalen-Lippe
Lübbecke,Lübbecke,Ostwestfalen-Lippe
Lübbeke,Lübbecke,Ostwestfalen-Lippe
lübbecke,Lübbecke,Ostwestfalen-Lippe
Moers,Moers,Niederrhein
Moormerland,Moormerland,Nord
Osten ( Frankfurt ( Oder ) ),Frankfurt (Oder),Ostwerk
Ostrhauderfehn,Ostrhauderfehn,Nord
"Quelle, Bielefeld",Brackwede-Quelle,Ostwestfalen-Lippe
Rheda-Wiedenbrück,Rheda-Wiedenbrück,Ostwestfalen-Lippe
Rudolstadt,Rudolstadt,Thüringen
Solingen,Solingen,Niederrhein
Sonneberg,Sonneberg,Thüringen
TS Versmold,Versmold,Ostwestfalen-Lippe
Versmold,Versmold,Ostwestfalen-Lippe
Weimar,Weimar,Thüringen
Zeulenroda,Zeulenroda,Thüringen
Zeulnroda,Zeulenroda,Thüringen
Zeuthen,Zeuthen,Ostwerk
