name,type,$kuid,col_name,$autoname,label,$qpath,required,select_from_list_name,relevant,hint,_isRepeat,appearance,kobo--matrix_list,$given_name,choice_filter
start,start,17wZ0amT7,start,start,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
end,end,DsHLBW835,end,end,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
block_intro,begin_group,xOsNCghIa,block_intro,block_intro,,group_jw4hp96,FALSE,NA,NA,,NA,NA,NA,NA,NA
Als_deutschlandweite_nen_wir_unterst_tzen,note,HDmF2OsZD,block_intro/Als_deutschlandweite_nen_wir_unterst_tzen,Als_deutschlandweite_nen_wir_unterst_tzen,"Als deutschlandweite TEN SING Programmgruppe wollen wir es genau wissen: Wer sind wir bei TEN SING und wie viele? Was beschäftigt euch in den Ortsgruppen und wo können wir unterstützen? Um das herauszufinden, gibt es zwei Fragebögen:",group_jw4hp96-Als_deutschlandweite_nen_wir_unterst_tzen,FALSE,NA,NA,,NA,NA,NA,NA,NA
Als_deutschlandweite_nen_wir_u_001,note,HDmF2OsZD,block_intro/Als_deutschlandweite_nen_wir_u_001,Als_deutschlandweite_nen_wir_u_001,"(1) Diesen, der einmal für die ganze Ortsgruppe ausgefüllt werden sollte (z.B. von jemandem aus dem Leitungsteam): [https://ogy.de/tensing25-og](https://ogy.de/tensing25-og)",group_jw4hp96-Als_deutschlandweite_nen_wir_u_001,FALSE,NA,NA,,NA,NA,NA,NA,NA
Als_deutschlandweite_nen_wir_u_002,note,HDmF2OsZD,block_intro/Als_deutschlandweite_nen_wir_u_002,Als_deutschlandweite_nen_wir_u_002,"(2) Ein Teilnehmendenfragebogen, den alle Teilnehmenden für sich ausfüllen sollen. Bitte schickt dafür diesen Link an alle aus eurer Ortsgruppe: [https://ogy.de/tensing25-tn](https://ogy.de/tensing25-tn)",group_jw4hp96-Als_deutschlandweite_nen_wir_u_002,FALSE,NA,NA,,NA,NA,NA,NA,NA
Als_deutschlandweite_nen_wir_u_003,note,HDmF2OsZD,block_intro/Als_deutschlandweite_nen_wir_u_003,Als_deutschlandweite_nen_wir_u_003,"Die Umfrage wurde 2024 zum ersten Mal durchgeführt. Der Fragebogen wurde aufgrund des Feedbacks von TEN SINGenden aus ganz Deutschland im Rahmen von Fokusgruppen entwickelt. So können wir in einigen Jahren auch sehen, wie sich TEN SING entwickelt. Die Umfrage erfolgt selbstverständlich anonym und kann nicht auf einzelne Teilnehmende zurückverfolgt werden. Auf Wunsch können alle Teilnehmenden die Gesamtauswertungen einsehen.",group_jw4hp96-Als_deutschlandweite_nen_wir_u_003,FALSE,NA,NA,,NA,NA,NA,NA,NA
Als_deutschlandweite_nen_wir_u_004,note,HDmF2OsZD,block_intro/Als_deutschlandweite_nen_wir_u_004,Als_deutschlandweite_nen_wir_u_004,"Wir freuen uns auf euren Input! Wir werden ihn nutzen, um euch noch besser zu unterstützen – zum Beispiel mit bundesweiten Veranstaltungen, Arbeitshilfen, zusätzlichen Spenden oder ganz anderes…",group_jw4hp96-Als_deutschlandweite_nen_wir_u_004,FALSE,NA,NA,,NA,NA,NA,NA,NA
Als_deutschlandweite_nen_wir_u_005,note,HDmF2OsZD,block_intro/Als_deutschlandweite_nen_wir_u_005,Als_deutschlandweite_nen_wir_u_005,"Viele Grüße, eure Programmgruppe",group_jw4hp96-Als_deutschlandweite_nen_wir_u_005,FALSE,NA,NA,,NA,NA,NA,NA,NA
NA,end_group,/xOsNCghIa,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
