name,type,$kuid,col_name,$autoname,label,$qpath,required,appearance,select_from_list_name,relevant,hint
start,start,OdCVJ68Ma,start,start,NA,NA,NA,NA,NA,NA,
end,end,gcpaX08uH,end,end,NA,NA,NA,NA,NA,NA,
group_bz6xn26,begin_group,wlZZyI8ud,group_bz6xn26,group_bz6xn26,,group_bz6xn26,FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_unterst_tzen,note,SQZW0FNdm,group_bz6xn26/Als_deutschlandweite_nen_wir_unterst_tzen,Als_deutschlandweite_nen_wir_unterst_tzen,Als deutschlandweite TEN SING Programmgruppe wollen wir es genau wissen: Wer sind wir bei TEN SING und wie viele? Was beschäftigt euch in den Ortsgruppen und wo können wir unterstützen?,group_bz6xn26-Als_deutschlandweite_nen_wir_unterst_tzen,FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u,note,SQZW0FNdm,group_bz6xn26/Als_deutschlandweite_nen_wir_u,Als_deutschlandweite_nen_wir_u,"Um das herauszufinden, gibt es zwei Fragebögen:",group_bz6xn26-Als_deutschlandweite_nen_wir_u,FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u_001,note,SQZW0FNdm,group_bz6xn26/Als_deutschlandweite_nen_wir_u_001,Als_deutschlandweite_nen_wir_u_001,"Diesen, den alle Teilnehmenden für sich ausfüllen. Gebt ihn gern weiter an andere aus eurer Ortsgruppe! Hier der Link: [https://ogy.de/tensing25-tn](https://ogy.de/tensing25-tn).",group_bz6xn26-Als_deutschlandweite_nen_wir_u_001,FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u_002,note,SQZW0FNdm,group_bz6xn26/Als_deutschlandweite_nen_wir_u_002,Als_deutschlandweite_nen_wir_u_002,"Und einen weiteren, der nur einmal für die ganze Ortsgruppe ausgefüllt werden sollte (z.B. von jemandem aus dem Leitungsteam): [https://ogy.de/tensing25-og](https://ogy.de/tensing25-og).",group_bz6xn26-Als_deutschlandweite_nen_wir_u_002,FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u_003,note,SQZW0FNdm,group_bz6xn26/Als_deutschlandweite_nen_wir_u_003,Als_deutschlandweite_nen_wir_u_003,"Die Umfrage wurde 2024 zum ersten Mal durchgeführt. Der Fragebogen wurde aufgrund des Feedbacks von TEN SINGenden aus ganz Deutschland im Rahmen von Fokusgruppen entwickelt. So können wir in einigen Jahren auch sehen, wie sich TEN SING entwickelt.",group_bz6xn26-Als_deutschlandweite_nen_wir_u_003,FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u_004,note,SQZW0FNdm,group_bz6xn26/Als_deutschlandweite_nen_wir_u_004,Als_deutschlandweite_nen_wir_u_004,Die Umfrage erfolgt selbstverständlich anonym und kann nicht auf einzelne Teilnehmende zurückverfolgt werden. Auf Wunsch können alle Teilnehmenden die Gesamtauswertungen einsehen.,group_bz6xn26-Als_deutschlandweite_nen_wir_u_004,FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u_005,note,SQZW0FNdm,group_bz6xn26/Als_deutschlandweite_nen_wir_u_005,Als_deutschlandweite_nen_wir_u_005,"Wir freuen uns auf euren Input! Wir werden ihn nutzen, um euch noch besser zu unterstützen – zum Beispiel mit bundesweiten Veranstaltungen, Arbeitshilfen, zusätzlichen Spenden oder ganz anderes…",group_bz6xn26-Als_deutschlandweite_nen_wir_u_005,FALSE,NA,NA,NA,
Als_deutschlandweite_nen_wir_u_006,note,SQZW0FNdm,group_bz6xn26/Als_deutschlandweite_nen_wir_u_006,Als_deutschlandweite_nen_wir_u_006,"Viele Grüße, eure Programmgruppe",group_bz6xn26-Als_deutschlandweite_nen_wir_u_006,FALSE,NA,NA,NA,
NA,end_group,/wlZZyI8ud,NA,NA,NA,NA,NA,NA,NA,NA,
blog_worte,begin_group,cL0QCQ3af,blog_worte,blog_worte,Mit welchen drei Worten verbindest du TEN SING?,group_aa5ex58,FALSE,NA,NA,NA,
Wort_1,text,FIeI3Ysk0,blog_worte/Wort_1,Wort_1,Wort 1:,group_aa5ex58-Wort_1,FALSE,NA,NA,NA,
Wort_2,text,gbbu8b3pL,blog_worte/Wort_2,Wort_2,Wort 2:,group_aa5ex58-Wort_2,FALSE,NA,NA,NA,
Wort_3,text,rNRzQVReW,blog_worte/Wort_3,Wort_3,Wort 3:,group_aa5ex58-Wort_3,FALSE,NA,NA,NA,
block_eigenschaften,begin_group,nCeh6vkDe,blog_worte/block_eigenschaften,block_eigenschaften,"Nachfolgend findest du Eigenschaften. Bitte entscheide, wie sehr diese auf TEN SING zutreffen:",group_aa5ex58-group_ze8px94,FALSE,NA,NA,NA,
tengsing_geschuetzt,select_one,fu3bv29,blog_worte/block_eigenschaften/tengsing_geschuetzt,tengsing_geschuetzt,"TEN SING ist auf einer Skala zwischen ""geschütztem"" und ""nicht geschütztem Raum"":",group_aa5ex58-group_ze8px94-tengsing_geschuetzt,FALSE,likert,zn7ly20,NA,
tensing_modern_traditionell_00,select_one,D4LH2qG5H,blog_worte/block_eigenschaften/tensing_modern_traditionell_00,tensing_modern_traditionell_00," TEN SING ist auf einer Skala zwischen ""modern"" und ""traditionell"" ein:",group_aa5ex58-group_ze8px94-tensing_modern_traditionell_00,FALSE,likert,of2xr12,NA,
