name,$kuid,label,list_name,$autovalue,order
montag,4X02L0jeg,Montag,my9mv70,montag,NA
dienstag,3qdwAF24y,Dienstag,my9mv70,dienstag,NA
mittwoch,U4wmdZkaI,Mittwoch,my9mv70,mittwoch,NA
donnerstag,X8By5zjLU,Donnerstag,my9mv70,donnerstag,NA
freitag,bXzlWxoQS,Freitag,my9mv70,freitag,NA
samstag,0xj1hL6Cp,Samstag,my9mv70,samstag,NA
sonntag,Rs3gsYnzC,Sonntag,my9mv70,sonntag,NA
chor,66Nijf89f,Chor,vj9by53,chor,0
solo_gesang,n7BDy2dfM,Solo-Gesang,vj9by53,solo_gesang,1
tanz,uei7uyPEQ,Tanz,vj9by53,tanz,2
orga,1VCAMuDxc,Orga,vj9by53,orga,3
medien,ivArZUwEC,Medien,vj9by53,medien,4
technik,tbQDyXKKb,Technik,vj9by53,technik,5
band,iKNBNntZ4,Band,vj9by53,band,6
kreativ,dvOEIxpTt,Kreativ,vj9by53,kreativ,7
theater,yNNr403Ob,Theater,vj9by53,theater,8
dirigieren_chorleitung,oRzMcO2f2,Dirigieren / Chorleitung,vj9by53,dirigieren_chorleitung,9
andere_workshops,mUvtBSVhF,andere Workshops,vj9by53,andere_workshops,10
Ja_Vollzeit,xycFIIgKy,Ja,ra07e45,Ja_Vollzeit,NA
nein,zXbzGjUXT,Nein,ra07e45,nein,NA
wei__ich_nicht,wn6UmaKxs,Weiß ich nicht,ra07e45,wei__ich_nicht,NA
ja_grosse_probleme,DxqY5eZe8,"Ja, sehr große Probleme",xx6oz98,ja_grosse_probleme,NA
ja_phasenweise,9zi1hGl26,"Ja, aber nur phasenweise",xx6oz98,ja_phasenweise,NA
nein,6MVr4QftP,Nein,xx6oz98,nein,NA
werbung_auftritte,0MZn2XhK8,Werbung bei unseren Veranstaltungen und Vorführungen,sd1mv43,werbung_auftritte,NA
werbung_kirche,bN6MnptFr,Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit),sd1mv43,werbung_kirche,NA
schulprojekte,MH9LDXuDy,Schulprojekte (z. B. Projektwochen),sd1mv43,schulprojekte,NA
schnupperproben,qfnrNQkuy,Schnupperproben,sd1mv43,schnupperproben,NA
social_media,El3FWT2dq,"Werbung auf Social Media (z. B. Instagram, TikTok)",sd1mv43,social_media,NA
freunde_und_bekannte,4OqtUuVvt,Freunde und Bekannte ansprechen,sd1mv43,freunde_und_bekannte,NA
sonstige,VAh2e1v0O,Sonstige,sd1mv43,sonstige,NA
1,EwREFivlq,Gar nicht erfolgreich (1),dq4ul86,1,NA
2,jUTUTsG7B,2,dq4ul86,2,NA
3,ffg2OSHTk,3,dq4ul86,3,NA
4,SLpYPupRP,4,dq4ul86,4,NA
5,y9T0HtF9q,5,dq4ul86,5,NA
6,8kPS2Kiq7,Sehr erfolgreich (6),dq4ul86,6,NA
1,EwREFivlq,Gar nicht erfolgreich (1),kd0em48,1,NA
2,jUTUTsG7B,2,kd0em48,2,NA
3,ffg2OSHTk,3,kd0em48,3,NA
4,SLpYPupRP,4,kd0em48,4,NA
5,y9T0HtF9q,5,kd0em48,5,NA
6,8kPS2Kiq7,Sehr erfolgreich (6),kd0em48,6,NA
nein,4ADYRxL0E,Nein,qq0kz18,nein,NA
eher_nein,ejpjSeTBd,Eher nein,qq0kz18,eher_nein,NA
eher_ja,UmFqL6tFB,Eher ja,qq0kz18,eher_ja,NA
ja,nQiIzRSL1,Ja,qq0kz18,ja,NA
bin_mir_unsicher,hjkMjqbHV,Bin mir unsicher,qq0kz18,bin_mir_unsicher,NA
hessen,x2qufw7sz,Hessen,ta2jv23,hessen,NA
nord,sqdRJ6W9J,Nord,ta2jv23,nord,NA
ostwestfalen_lippe,LDHop2jPP,Ostwestfalen-Lippe,ta2jv23,ostwestfalen_lippe,NA
sachsen_anhalt,giLpX9DxK,Sachsen-Anhalt,ta2jv23,sachsen_anhalt,NA
thueringen,BgTsCXOHS,Thüringen,ta2jv23,thueringen,NA
blrg,IJnDNpUBP,Niederrhein und Bergischland-Ruhrgebiet (BLRG),ta2jv23,blrg,NA
ostwerk,z6s9wvwdU,Ostwerk,ta2jv23,ostwerk,NA
sachsen,gKHKw9qRz,Sachsen,ta2jv23,sachsen,NA
sueden,oVTvUgFsc,Süden,ta2jv23,sueden,NA
divers_1,by3du15,Divers,matrix_sv3gv00,divers_1,NA
mann_1,kb9og41,Männlich,matrix_sv3gv00,mann_1,NA
frau_1,pa84u58,Weiblich,matrix_sv3gv00,frau_1,NA
bis13_1,fs9da17,Bis 13 Jahre,matrix_rw26u38,bis13_1,NA
14bis17_1,js4hb61,14-17 Jahre,matrix_rw26u38,14bis17_1,NA
18bis19_1,xn1vq53,18 bis 19 Jahre,matrix_rw26u38,18bis19_1,NA
20und_1,nf5nf74,20 Jahre und älter,matrix_rw26u38,20und_1,NA
