name,type,$kuid,$qpath,col_name,$autoname,label,required,select_from_list_name,relevant,_isRepeat,appearance,kobo--matrix_list,hint,$given_name
start,start,qBlGMwXtj,start,start,start,NA,NA,NA,NA,NA,NA,NA,,NA
end,end,L80ueDy0W,end,end,end,NA,NA,NA,NA,NA,NA,NA,,NA
group_jw4hp96,begin_group,xOsNCghIa,group_jw4hp96,group_jw4hp96,group_jw4hp96,,FALSE,NA,NA,NA,NA,NA,,NA
Als_deutschlandweite_nen_wir_unterst_tzen,note,HDmF2OsZD,group_jw4hp96-Als_deutschlandweite_nen_wir_unterst_tzen,group_jw4hp96/Als_deutschlandweite_nen_wir_unterst_tzen,Als_deutschlandweite_nen_wir_unterst_tzen,"Als deutschlandweite TEN SING Programmgruppe wollen wir es genau wissen: Wer sind wir bei TEN SING und wie viele? Was beschäftigt euch in den Ortsgruppen und wo können wir unterstützen? Um das herauszufinden, gibt es zwei Fragebögen:",FALSE,NA,NA,NA,NA,NA,,NA
Als_deutschlandweite_nen_wir_u_001,note,HDmF2OsZD,group_jw4hp96-Als_deutschlandweite_nen_wir_u_001,group_jw4hp96/Als_deutschlandweite_nen_wir_u_001,Als_deutschlandweite_nen_wir_u_001,"(1) Diesen, der einmal für die ganze Ortsgruppe ausgefüllt werden sollte (z.B. von jemandem aus dem Leitungsteam): [https://ogy.de/TENSINGortsgruppe]( https://ogy.de/TENSINGortsgruppe)",FALSE,NA,NA,NA,NA,NA,,NA
Als_deutschlandweite_nen_wir_u_002,note,HDmF2OsZD,group_jw4hp96-Als_deutschlandweite_nen_wir_u_002,group_jw4hp96/Als_deutschlandweite_nen_wir_u_002,Als_deutschlandweite_nen_wir_u_002,"(2) Ein Teilnehmendenfragebogen, den alle Teilnehmenden für sich ausfüllen sollen. Bitte schickt dafür diesen Link an alle aus eurer Ortsgruppe: [https://ogy.de/TENSINGteilnehmende]( https://ogy.de/TENSINGteilnehmende)",FALSE,NA,NA,NA,NA,NA,,NA
Als_deutschlandweite_nen_wir_u_003,note,HDmF2OsZD,group_jw4hp96-Als_deutschlandweite_nen_wir_u_003,group_jw4hp96/Als_deutschlandweite_nen_wir_u_003,Als_deutschlandweite_nen_wir_u_003,"Die Umfrage wird 2024 zum ersten Mal durchgeführt und soll ab jetzt einmal pro Jahr kommen. Der Fragebogen wurde aufgrund des Feedbacks von TEN SINGenden aus ganz Deutschland im Rahmen von Fokusgruppen entwickelt. So können wir in einigen Jahren auch sehen, wie sich TEN SING entwickelt. Die Umfrage erfolgt selbstverständlich anonym und kann nicht auf einzelne Teilnehmende zurückverfolgt werden. Auf Wunsch können alle Teilnehmenden die Gesamtauswertungen einsehen.",FALSE,NA,NA,NA,NA,NA,,NA
Als_deutschlandweite_nen_wir_u_004,note,HDmF2OsZD,group_jw4hp96-Als_deutschlandweite_nen_wir_u_004,group_jw4hp96/Als_deutschlandweite_nen_wir_u_004,Als_deutschlandweite_nen_wir_u_004,"Wir freuen uns auf euren Input! Wir werden ihn nutzen, um euch noch besser zu unterstützen – zum Beispiel mit bundesweiten Veranstaltungen, Arbeitshilfen, zusätzlichen Spenden oder ganz anderes…",FALSE,NA,NA,NA,NA,NA,,NA
Als_deutschlandweite_nen_wir_u_005,note,HDmF2OsZD,group_jw4hp96-Als_deutschlandweite_nen_wir_u_005,group_jw4hp96/Als_deutschlandweite_nen_wir_u_005,Als_deutschlandweite_nen_wir_u_005,"Viele Grüße, eure Programmgruppe",FALSE,NA,NA,NA,NA,NA,,NA
NA,end_group,/xOsNCghIa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
