name,$kuid,label,list_name,$autovalue,order
1,uGstCaaeT,Geschützter Raum (1),zn7ly20,1,NA
2,LntiH1Gdi,2,zn7ly20,2,NA
3,UzGgU2QCG,3,zn7ly20,3,NA
4,cCeswyqto,4,zn7ly20,4,NA
5,HqjPP8rgf,5,zn7ly20,5,NA
6,ykOOlv4ZX,Kein geschützter Raum (6),zn7ly20,6,NA
1,PMhAJSXVA,Modernes Angebot (1),of2xr12,1,NA
2,ZH4GmDLMS,2,of2xr12,2,NA
3,b3JzEEbbc,3,of2xr12,3,NA
4,Ia3tfiOJW,4,of2xr12,4,NA
5,XmdmnNMPU,5,of2xr12,5,NA
6,P6n1kLh81,Traditionelles Angebot (6),of2xr12,6,NA
1,nUld2L5Gi,Abwechslungsreich (1),bp5fa75,1,NA
2,aghud61pG,2,bp5fa75,2,NA
3,2VlmENahx,3,bp5fa75,3,NA
4,X3BmH7Pir,4,bp5fa75,4,NA
5,UAheMhQaU,5,bp5fa75,5,NA
6,YWwDLRdnU,Immer das Gleiche (6),bp5fa75,6,NA
1,pmUiT1f6G,Alle helfen zusammen und sind eine Gemeinschaft (1),to1tc02,1,NA
2,Sfn62eIMS,2,to1tc02,2,NA
3,y41wsjSpY,3,to1tc02,3,NA
4,SkvrclKlP,4,to1tc02,4,NA
5,mruXGyRaY,5,to1tc02,5,NA
6,4MOA5p7WC,Jeder macht sein Ding (6),to1tc02,6,NA
1,V3TBv07mV,Offen für alle (1),mb0iy64,1,NA
2,HZmQ4JyXu,2,mb0iy64,2,NA
3,1SYJKAXjh,3,mb0iy64,3,NA
4,EapacebEJ,4,mb0iy64,4,NA
5,1zB1S5l4E,5,mb0iy64,5,NA
6,QW6qnwbJW,Exklusiv (6),mb0iy64,6,NA
1,4D8gpu7gS,Offen für alle Religionen (1),jc39z02,1,NA
2,nNXTdxrwc,2,jc39z02,2,1
3,TwNrZSQ5s,3,jc39z02,3,2
4,CfltbrpWq,4,jc39z02,4,3
5,okKEpofpp,5,jc39z02,5,4
6,LBtSMDqnF,Nur für Christ:innen (6),jc39z02,6,5
1,4XHf8fTGN,Kreativ (1),yj5us17,1,NA
2,lMqh8JU54,2,yj5us17,2,NA
3,m9DLgLO4s,3,yj5us17,3,NA
4,iWWHHwpG6,4,yj5us17,4,NA
5,rYwYPJody,5,yj5us17,5,NA
6,JSkdleFyK,Nicht kreativ (6),yj5us17,6,NA
1,dLqcRdrNq,Man achtet aufeinander (1),ua93t27,1,NA
2,dE3ZNfaVI,2,ua93t27,2,NA
3,3nsRhaYYD,3,ua93t27,3,NA
4,emgJJww8u,4,ua93t27,4,NA
5,9hjezb9Dj,5,ua93t27,5,NA
6,ADzTZ55lN,Jede:r schaut auf sich (6),ua93t27,6,NA
1,hs9WAm8eA,Man kann sich als Person ausprobieren (1),qk9rg27,1,NA
2,FNG5HPEFf,2,qk9rg27,2,NA
3,MynAlrxJp,3,qk9rg27,3,NA
4,Qqc7nUrEC,4,qk9rg27,4,NA
5,yMD8snTJX,5,qk9rg27,5,NA
6,lW1NRZfi3,Man macht immer das gleiche (6),qk9rg27,6,NA
